Product Title,Variant Title,Purity,Gold Weight,Diamond Weight,Price,Variant ID,Image 1,Image 2,LocalImage
Starshard Diamond Pendant,18 KT / Yellow Gold,18K,0.6192,0.35,18388.0,51017748283680,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00499-PE-025_Y1.jpg?v=1765200403,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00499-PE-025_Y2.jpg?v=1765200453,KI-PD00499-PE-025_Y1.jpg
The  Pearlescent Shine Diamond Pendant,9 KT / Rose Gold,9K,0.82,0.27,13711.0,51005128442144,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00502-PE-025_R1.jpg?v=1765258509,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00502-PE-025_R2.jpg?v=1765258509,KI-PD00502-PE-025_R1.jpg
The  Pearlescent Shine Diamond Pendant,14 KT / Rose Gold,14K,0.88944,0.27,17137.0,51005128540448,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00502-PE-025_R1.jpg?v=1765258509,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00502-PE-025_R2.jpg?v=1765258509,KI-PD00502-PE-025_R1.jpg
The  Pearlescent Shine Diamond Pendant,18 KT / Rose Gold,18K,1.05264,0.27,21523.0,51005128638752,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00502-PE-025_R1.jpg?v=1765258509,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00502-PE-025_R2.jpg?v=1765258509,KI-PD00502-PE-025_R1.jpg
Quadric Dangling Round Oval Diamond Pendant,9 KT / Yellow Gold,9K,0.95,0.31,15568.0,51005127819552,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00506-OV-025_Y1.jpg?v=1764844391,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00506-OV-025_Y2.jpg?v=1764844424,KI-PD00506-OV-025_Y1.jpg
Quadric Dangling Round Oval Diamond Pendant,14 KT / Yellow Gold,14K,1.03332,0.31,19564.0,51005127917856,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00506-OV-025_Y1.jpg?v=1764844391,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00506-OV-025_Y2.jpg?v=1764844424,KI-PD00506-OV-025_Y1.jpg
Quadric Dangling Round Oval Diamond Pendant,18 KT / Yellow Gold,18K,1.22292,0.31,24660.0,51005128016160,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00506-OV-025_Y1.jpg?v=1764844391,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00506-OV-025_Y2.jpg?v=1764844424,KI-PD00506-OV-025_Y1.jpg
The Velocity Round Pear Diamond Pendant,9 KT / Yellow Gold,9K,0.56,0.3,12931.0,51005127524640,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00505-PE-025_Y1.jpg?v=1765200424,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00505-PE-025_Y2.jpg?v=1765200466,KI-PD00505-PE-025_Y1.jpg
The Velocity Round Pear Diamond Pendant,14 KT / Yellow Gold,14K,0.6104,0.3,15299.0,51005127622944,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00505-PE-025_Y1.jpg?v=1765200424,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00505-PE-025_Y2.jpg?v=1765200466,KI-PD00505-PE-025_Y1.jpg
The Velocity Round Pear Diamond Pendant,18 KT / Yellow Gold,18K,0.7224,0.3,18309.0,51005127721248,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00505-PE-025_Y1.jpg?v=1765200424,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00505-PE-025_Y2.jpg?v=1765200466,KI-PD00505-PE-025_Y1.jpg
Pinpoint Glam Round Diamond Pendant,9 KT / Rose Gold,9K,0.56,0.26,11864.0,51005127262496,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00504-RB-025_R1.jpg?v=1765258727,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00504-RB-025_R2.jpg?v=1765258727,KI-PD00504-RB-025_R1.jpg
Pinpoint Glam Round Diamond Pendant,14 KT / Rose Gold,14K,0.60822,0.26,14211.0,51005127360800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00504-RB-025_R1.jpg?v=1765258727,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00504-RB-025_R2.jpg?v=1765258727,KI-PD00504-RB-025_R1.jpg
Pinpoint Glam Round Diamond Pendant,18 KT / Rose Gold,18K,0.71982,0.26,17211.0,51005127459104,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00504-RB-025_R1.jpg?v=1765258727,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00504-RB-025_R2.jpg?v=1765258727,KI-PD00504-RB-025_R1.jpg
Point of Perfection Pear Diamond Pendant,9 KT / Rose Gold,9K,0.53,0.25,11415.0,51005126967584,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00501-PE-025_R1.jpg?v=1764846800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00501-PE-025_R2.jpg?v=1764846800,KI-PD00501-PE-025_R1.jpg
Point of Perfection Pear Diamond Pendant,14 KT / Rose Gold,14K,0.5777,0.25,13656.0,51005127065888,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00501-PE-025_R1.jpg?v=1764846800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00501-PE-025_R2.jpg?v=1764846800,KI-PD00501-PE-025_R1.jpg
Point of Perfection Pear Diamond Pendant,18 KT / Rose Gold,18K,0.6837,0.25,16505.0,51005127164192,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00501-PE-025_R1.jpg?v=1764846800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00501-PE-025_R2.jpg?v=1764846800,KI-PD00501-PE-025_R1.jpg
The Modus Emerald Diamond Pendant,9 KT / White Gold,9K,0.45,0.29,11996.0,51005126705440,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00507-EM-025_W1.jpg?v=1764846800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00507-EM-025_W2.jpg?v=1764846800,KI-PD00507-EM-025_W1.jpg
The Modus Emerald Diamond Pendant,14 KT / White Gold,14K,0.49268,0.29,13919.0,51005126803744,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00507-EM-025_W1.jpg?v=1764846800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00507-EM-025_W2.jpg?v=1764846800,KI-PD00507-EM-025_W1.jpg
The Modus Emerald Diamond Pendant,18 KT / White Gold,18K,0.58308,0.29,16349.0,51005126902048,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00507-EM-025_W1.jpg?v=1764846800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00507-EM-025_W2.jpg?v=1764846800,KI-PD00507-EM-025_W1.jpg
Oval Diamond Bypass Diamond Pendant,9 KT / Yellow Gold,9K,0.36,0.28,11182.0,51005126344992,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00500-OV-025_Y1.jpg?v=1765200407,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00500-OV-025_Y2.jpg?v=1765200456,KI-PD00500-OV-025_Y1.jpg
Oval Diamond Bypass Diamond Pendant,14 KT / Yellow Gold,14K,0.39676,0.28,12745.0,51005126443296,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00500-OV-025_Y1.jpg?v=1765200407,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00500-OV-025_Y2.jpg?v=1765200456,KI-PD00500-OV-025_Y1.jpg
Oval Diamond Bypass Diamond Pendant,18 KT / Yellow Gold,18K,0.46956,0.28,14702.0,51005126541600,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00500-OV-025_Y1.jpg?v=1765200407,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-PD00500-OV-025_Y2.jpg?v=1765200456,KI-PD00500-OV-025_Y1.jpg
Swirling Clover Diamond Pendant,9 KT / Yellow Gold,9K,2.03,0.8,40578.0,50738117083424,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DPN000003_Y1.jpg?v=1758087487,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DPN000003_Y2.jpg?v=1771239739,DPN000003_Y1.jpg
Swirling Clover Diamond Pendant,14 KT / Yellow Gold,14K,2.3,0.8,49986.0,50702587265312,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DPN000003_Y1.jpg?v=1758087487,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DPN000003_Y2.jpg?v=1771239739,DPN000003_Y1.jpg
Swirling Clover Diamond Pendant,18 KT / Yellow Gold,18K,2.7,0.8,61061.0,50702587363616,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DPN000003_Y1.jpg?v=1758087487,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DPN000003_Y2.jpg?v=1771239739,DPN000003_Y1.jpg
