Product Title,Variant Title,Purity,Gold Weight,Diamond Weight,Price,Variant ID,Image 1,Image 2,LocalImage
The Anchored Heart Diamond Mangalsutra Bracelet,14 KT / Yellow Gold,14K,12.58,1.543,183518.0,50962688508192,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-BG68257_Y4.jpg?v=1764589698,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/8_8d1727bd-d3d2-4ec3-b8f0-5428aa1091d3.jpg?v=1764594203,MJ-BG68257_Y4.jpg
The Anchored Heart Diamond Mangalsutra Bracelet,18 KT / Yellow Gold,18K,15.09,1.543,248011.0,50962688606496,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-BG68257_Y4.jpg?v=1764589698,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/8_8d1727bd-d3d2-4ec3-b8f0-5428aa1091d3.jpg?v=1764594203,MJ-BG68257_Y4.jpg
The Modern Classic Diamond Mangalsutra Bracelet,14 KT / Yellow Gold,14K,13.57,1.504,193999.0,50962688213280,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-OB68259_Y4.jpg?v=1764589780,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/2_77a2af12-1326-4bf3-82b5-6f2b18443273.jpg?v=1764594221,MJ-OB68259_Y4.jpg
The Modern Classic Diamond Mangalsutra Bracelet,18 KT / Yellow Gold,18K,16.28,1.504,263597.0,50962688311584,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-OB68259_Y4.jpg?v=1764589780,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/2_77a2af12-1326-4bf3-82b5-6f2b18443273.jpg?v=1764594221,MJ-OB68259_Y4.jpg
The Minimal Muse Diamond Mangalsutra Bracelet,14 KT / Yellow Gold,14K,10.37,0.883,137952.0,50962687918368,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-OB68260_Y4.jpg?v=1764589809,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/3_4bc7a9a3-ad00-4ca0-82ec-55a807521a1b.jpg?v=1764594238,MJ-OB68260_Y4.jpg
The Minimal Muse Diamond Mangalsutra Bracelet,18 KT / Yellow Gold,18K,12.44,0.883,191127.0,50962688016672,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-OB68260_Y4.jpg?v=1764589809,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/3_4bc7a9a3-ad00-4ca0-82ec-55a807521a1b.jpg?v=1764594238,MJ-OB68260_Y4.jpg
The Love Shield Diamond Mangalsutra Bracelet,14 KT / Yellow Gold,14K,2.95,0.79,52338.0,50962687623456,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68262_Y1.jpg?v=1764335969,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/5_b1f488fe-9878-4a53-9426-a4376c55fd13.jpg?v=1764594253,MJ-LB68262_Y1.jpg
The Love Shield Diamond Mangalsutra Bracelet,18 KT / Yellow Gold,18K,3.54,0.79,67479.0,50962687721760,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68262_Y1.jpg?v=1764335969,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/5_b1f488fe-9878-4a53-9426-a4376c55fd13.jpg?v=1764594253,MJ-LB68262_Y1.jpg
The Sacred Charms Diamond Mangalsutra Bracelet,14 KT / Yellow Gold,14K,2.39,0.606,41496.0,50962687328544,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68261_Y1.jpg?v=1764335966,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/6_926e5dc9-f257-4e53-bfa3-27b0c475d348.jpg?v=1764594267,MJ-LB68261_Y1.jpg
The Sacred Charms Diamond Mangalsutra Bracelet,18 KT / Yellow Gold,18K,2.87,0.606,53787.0,50962687426848,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68261_Y1.jpg?v=1764335966,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/6_926e5dc9-f257-4e53-bfa3-27b0c475d348.jpg?v=1764594267,MJ-LB68261_Y1.jpg
