Category,Product URL,Purity,Gold Weight,Diamond Weight,Image Link,
ring,https://geer.in/products/seraphina-oval-bloom-ring/from_collection=lab-grown-diamonds-rings,14K,2.04 g,1.88 ct,https://geer.in/cdn/shop/files/GJLR-173_R1.jpg?v=1750398931,GJLR-173_R1.jpg
ring,https://geer.in/products/delurea-straight-round-cut-delicate-lab-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.67 g,0.16 ct,https://geer.in/cdn/shop/files/AIENR-073RD_Y1_738250be-838b-4de1-91c9-32a30eb4a37d.jpg?v=1752144780,AIENR-073RD_Y1_738250be-838b-4de1-91c9-32a30eb4a37d.jpg
ring,https://geer.in/products/solaveris-0-5ct-emerald-cut-solitaire-lab-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.51 g,0.5 ct,https://geer.in/cdn/shop/files/AIENR-165A_W1.jpg?v=1751623869,AIENR-165A_W1.jpg
ring,https://geer.in/products/arlette-everyday-solitaire/from_collection=lab-grown-diamonds-rings,14K,1.70 g,2.07 ct,https://geer.in/cdn/shop/files/GJLR-097_Y1.jpg?v=1750235944,GJLR-097_Y1.jpg
ring,https://geer.in/products/aura-three-stone-radiance-ring/from_collection=lab-grown-diamonds-rings,14K,1.96 g,1.51 ct,https://geer.in/cdn/shop/files/GJLR-143_R1.jpg?v=1750400018,GJLR-143_R1.jpg
ring,https://geer.in/products/the-aurelia-asscher-solitaire/from_collection=lab-grown-diamonds-rings,14K,2.38 g,3.3 ct,https://geer.in/cdn/shop/files/GJLR-113_R1.jpg?v=1750400130,GJLR-113_R1.jpg
ring,https://geer.in/products/clarisse-solitaire-ring/from_collection=lab-grown-diamonds-rings,14K,3.40 g,0.33 ct,https://geer.in/cdn/shop/files/GJLR-154_R1_1ef331ee-715e-4a47-af0a-ac44190c0fb8.jpg?v=1750402090,GJLR-154_R1_1ef331ee-715e-4a47-af0a-ac44190c0fb8.jpg
ring,https://geer.in/products/solira-round-brilliance-ring/from_collection=lab-grown-diamonds-rings,14K,3.32 g,1.34 ct,https://geer.in/cdn/shop/files/GJLR-147_R1.jpg?v=1750402120,GJLR-147_R1.jpg
ring,https://geer.in/products/deliora-split-round-cut-delicate-ring-copy-1/from_collection=lab-grown-diamonds-rings,14K,1.76 g,0.32 ct,https://geer.in/cdn/shop/files/GJLR-055_R1.jpg?v=1750407122,GJLR-055_R1.jpg
ring,https://geer.in/products/pandora-1ct-marquise-round-cut-eternity-ring/from_collection=lab-grown-diamonds-rings,14K,1.81 g,1.4 ct,https://geer.in/cdn/shop/files/GJLR-038_R1.jpg?v=1750409073,GJLR-038_R1.jpg
ring,https://geer.in/products/sidenaire-4ct-standard-emerald-cut-side-stone-ring-copy-1/from_collection=lab-grown-diamonds-rings,14K,2.68 g,2.73 ct,https://geer.in/cdn/shop/files/GJLR-037_R1.jpg?v=1750409361,GJLR-037_R1.jpg
ring,https://geer.in/products/valerion-0-75ct-pear-sidestone-emerald-cut-ring-copy-1/from_collection=lab-grown-diamonds-rings,14K,2.13 g,0.87 ct,https://geer.in/cdn/shop/files/GJLR-022.jpg?v=1750410535,GJLR-022.jpg
ring,https://geer.in/products/delicine-twist-round-cut-delicate-ring/from_collection=lab-grown-diamonds-rings,14K,2.03 g,0.35 ct,https://geer.in/cdn/shop/files/GJLR-009_R1.jpg?v=1750411583,GJLR-009_R1.jpg
ring,https://geer.in/products/3k-solitaire-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,3.13 g,0.54 ct,https://geer.in/cdn/shop/files/GJLR-017.jpg?v=1750412085,GJLR-017.jpg
ring,https://geer.in/products/diamtique-cushion-cut-solitaire-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.26 g,0.54 ct,https://geer.in/cdn/shop/files/AIENR-123RD_R1.jpg?v=1751623773,AIENR-123RD_R1.jpg
